white_ball_1,white_ball_2,white_ball_3,white_ball_4,white_ball_5,pb,wb_1_time_weighted_freq,wb_2_time_weighted_freq,wb_3_time_weighted_freq,wb_4_time_weighted_freq,wb_5_time_weighted_freq,pb_time_weighted_freq,wb_1_rolling_mean_25,wb_2_rolling_mean_25,wb_3_rolling_mean_25,wb_4_rolling_mean_25,wb_5_rolling_mean_25,pb_rolling_mean_25,wb_1_rolling_mean_50,wb_2_rolling_mean_50,wb_3_rolling_mean_50,wb_4_rolling_mean_50,wb_5_rolling_mean_50,pb_rolling_mean_50,wb_1_rolling_mean_100,wb_2_rolling_mean_100,wb_3_rolling_mean_100,wb_4_rolling_mean_100,wb_5_rolling_mean_100,pb_rolling_mean_100
42,15,6,5,29,10,0.009041660876331833,0.003367620203865751,0.645684898119403,0.00011022428274621012,0.0008657871504890175,0.050832102864036416,42.0,15.0,6.0,5.0,29.0,10.0,42.0,15.0,6.0,5.0,29.0,10.0,42.0,15.0,6.0,5.0,29.0,10.0
47,2,63,62,11,17,0.0059780447653812185,0.858356417779222,0.10471208161724223,0.08040544278189217,0.7979191661668297,0.7539020792622968,44.5,8.5,34.5,33.5,20.0,13.5,44.5,8.5,34.5,33.5,20.0,13.5,44.5,8.5,34.5,33.5,20.0,13.5
32,16,19,57,34,13,0.7929309248899934,0.007019475341512124,0.0480367771478629,0.5403604188527631,0.0024912994357914886,0.26858822048776976,40.333333333333336,11.0,29.333333333333332,41.333333333333336,24.666666666666668,13.333333333333334,40.333333333333336,11.0,29.333333333333332,41.333333333333336,24.666666666666668,13.333333333333334,40.333333333333336,11.0,29.333333333333332,41.333333333333336,24.666666666666668,13.333333333333334
8,27,34,4,19,10,0.4246863297263651,0.06064234877111547,0.018373897770336878,0.00023686643870321538,0.024935256110529547,0.050832102864036416,32.25,15.0,30.5,32.0,23.25,12.5,32.25,15.0,30.5,32.0,23.25,12.5,32.25,15.0,30.5,32.0,23.25,12.5
61,52,51,64,3,6,3.6118973315398535e-07,0.24753738162892125,0.0005533458265161772,0.34858457915676133,0.10736863858508403,0.39985039254248333,38.0,22.4,34.6,38.4,19.2,11.2,38.0,22.4,34.6,38.4,19.2,11.2,38.0,22.4,34.6,38.4,19.2,11.2
44,5,39,69,47,24,0.04550588508815904,0.018041954308761928,0.011213998916399126,0.007454865641169977,0.00024006951357817698,0.6719665195426564,39.0,19.5,35.333333333333336,43.5,23.833333333333332,13.333333333333334,39.0,19.5,35.333333333333336,43.5,23.833333333333332,13.333333333333334,39.0,19.5,35.333333333333336,43.5,23.833333333333332,13.333333333333334
32,22,40,69,34,19,0.7929309248899934,0.02410907583890291,0.00010081686689873096,0.007454865641169977,0.0024912994357914886,0.04362732588140243,38.0,19.857142857142858,36.0,47.142857142857146,25.285714285714285,14.142857142857142,38.0,19.857142857142858,36.0,47.142857142857146,25.285714285714285,14.142857142857142,38.0,19.857142857142858,36.0,47.142857142857146,25.285714285714285,14.142857142857142
40,52,3,67,12,21,1.3273989094118668,0.24753738162892125,0.0026329058873561318,0.31828601169118914,8.512094200423731e-05,0.14653996901836455,38.25,23.875,31.875,49.625,23.625,15.0,38.25,23.875,31.875,49.625,23.625,15.0,38.25,23.875,31.875,49.625,23.625,15.0
16,5,12,31,43,18,0.002082535179922114,0.018041954308761928,0.7136759358845285,0.4360159993572541,0.031004178630629778,1.2328510355369109,35.77777777777778,21.77777777777778,29.666666666666668,47.55555555555556,25.77777777777778,15.333333333333334,35.77777777777778,21.77777777777778,29.666666666666668,47.55555555555556,25.77777777777778,15.333333333333334,35.77777777777778,21.77777777777778,29.666666666666668,47.55555555555556,25.77777777777778,15.333333333333334
26,60,67,31,28,23,0.15071124327875726,0.509470158738337,0.058290409493086566,0.4360159993572541,4.9861477174643525e-06,0.35016615001526485,34.8,25.6,33.4,45.9,26.0,16.1,34.8,25.6,33.4,45.9,26.0,16.1,34.8,25.6,33.4,45.9,26.0,16.1
13,4,36,31,52,8,0.26917958047637597,0.6673838008187823,0.0011235193882174126,0.4360159993572541,0.0031271140891034445,0.5692922742566433,32.81818181818182,23.636363636363637,33.63636363636363,44.54545454545455,28.363636363636363,15.363636363636363,32.81818181818182,23.636363636363637,33.63636363636363,44.54545454545455,28.363636363636363,15.363636363636363,32.81818181818182,23.636363636363637,33.63636363636363,44.54545454545455,28.363636363636363,15.363636363636363
2,62,40,50,3,5,0.5030818088906465,1.057041788581138,0.00010081686689873096,0.7352036358863162,0.10736863858508403,0.5105740707880035,30.25,26.833333333333332,34.166666666666664,45.0,26.25,14.5,30.25,26.833333333333332,34.166666666666664,45.0,26.25,14.5,30.25,26.833333333333332,34.166666666666664,45.0,26.25,14.5
7,15,36,18,19,20,0.018235696142522337,0.003367620203865751,0.0011235193882174126,0.03748798729878206,0.024935256110529547,4.080698384780722,28.46153846153846,25.923076923076923,34.30769230769231,42.92307692307692,25.692307692307693,14.923076923076923,28.46153846153846,25.923076923076923,34.30769230769231,42.92307692307692,25.692307692307693,14.923076923076923,28.46153846153846,25.923076923076923,34.30769230769231,42.92307692307692,25.692307692307693,14.923076923076923
29,27,7,40,17,25,0.0003771804517739436,0.06064234877111547,0.0015597456818815466,0.48089122997031336,4.344119453781652e-06,1.1199361176808,28.5,26.0,32.357142857142854,42.714285714285715,25.071428571428573,15.642857142857142,28.5,26.0,32.357142857142854,42.714285714285715,25.071428571428573,15.642857142857142,28.5,26.0,32.357142857142854,42.714285714285715,25.071428571428573,15.642857142857142
54,12,11,16,15,25,0.37055659387901935,0.0017890877873443524,0.05407596592623611,0.35420075770332915,4.479917550705049e-07,1.1199361176808,30.2,25.066666666666666,30.933333333333334,40.93333333333333,24.4,16.266666666666666,30.2,25.066666666666666,30.933333333333334,40.93333333333333,24.4,16.266666666666666,30.2,25.066666666666666,30.933333333333334,40.93333333333333,24.4,16.266666666666666
67,21,65,31,64,5,1.1937605994063345e-05,0.7581750116811724,0.0007549613346496954,0.4360159993572541,0.40653418123629814,0.5105740707880035,32.5,24.8125,33.0625,40.3125,26.875,15.5625,32.5,24.8125,33.0625,40.3125,26.875,15.5625,32.5,24.8125,33.0625,40.3125,26.875,15.5625
22,11,53,21,10,18,0.9392122419760958,0.00787512615422414,0.0047677822023815385,0.08527282576260659,0.06267217066701888,1.2328510355369109,31.88235294117647,24.0,34.23529411764706,39.1764705882353,25.88235294117647,15.705882352941176,31.88235294117647,24.0,34.23529411764706,39.1764705882353,25.88235294117647,15.705882352941176,31.88235294117647,24.0,34.23529411764706,39.1764705882353,25.88235294117647,15.705882352941176
62,52,13,12,44,6,0.09566612445899449,0.24753738162892125,0.029468344997966085,0.9303827596349007,1.6910917026404881,0.39985039254248333,33.55555555555556,25.555555555555557,33.05555555555556,37.666666666666664,26.88888888888889,15.166666666666666,33.55555555555556,25.555555555555557,33.05555555555556,37.666666666666664,26.88888888888889,15.166666666666666,33.55555555555556,25.555555555555557,33.05555555555556,37.666666666666664,26.88888888888889,15.166666666666666
3,34,27,59,69,19,0.0005402260054092275,0.2793855644756149,0.10268742386889099,0.014754214338362777,0.01364993089948249,0.04362732588140243,31.94736842105263,26.0,32.73684210526316,38.78947368421053,29.105263157894736,15.368421052631579,31.94736842105263,26.0,32.73684210526316,38.78947368421053,29.105263157894736,15.368421052631579,31.94736842105263,26.0,32.73684210526316,38.78947368421053,29.105263157894736,15.368421052631579
32,34,14,23,68,3,0.7929309248899934,0.2793855644756149,1.310527213105132e-07,1.4917376324929368,0.0011652037591928708,0.8403776262773663,31.95,26.4,31.8,38.0,31.05,14.75,31.95,26.4,31.8,38.0,31.05,14.75,31.95,26.4,31.8,38.0,31.05,14.75
28,11,50,57,62,23,0.14067346198379038,0.00787512615422414,0.601906807731805,0.5403604188527631,0.8145602157343348,0.35016615001526485,31.761904761904763,25.666666666666668,32.666666666666664,38.904761904761905,32.523809523809526,15.142857142857142,31.761904761904763,25.666666666666668,32.666666666666664,38.904761904761905,32.523809523809526,15.142857142857142,31.761904761904763,25.666666666666668,32.666666666666664,38.904761904761905,32.523809523809526,15.142857142857142
46,50,12,13,10,21,0.07696933935721834,0.9026665765343952,0.7136759358845285,4.9929384812005565e-06,0.06267217066701888,0.14653996901836455,32.40909090909091,26.772727272727273,31.727272727272727,37.72727272727273,31.5,15.409090909090908,32.40909090909091,26.772727272727273,31.727272727272727,37.72727272727273,31.5,15.409090909090908,32.40909090909091,26.772727272727273,31.727272727272727,37.72727272727273,31.5,15.409090909090908
11,60,23,54,43,3,0.03470039464315368,0.509470158738337,0.6946437196240411,0.6306852665895619,0.031004178630629778,0.8403776262773663,31.47826086956522,28.217391304347824,31.347826086956523,38.43478260869565,32.0,14.869565217391305,31.47826086956522,28.217391304347824,31.347826086956523,38.43478260869565,32.0,14.869565217391305,31.47826086956522,28.217391304347824,31.347826086956523,38.43478260869565,32.0,14.869565217391305
22,15,49,5,8,25,0.9392122419760958,0.003367620203865751,2.3983755446697597,0.00011022428274621012,0.3773227633397825,1.1199361176808,31.083333333333332,27.666666666666668,32.083333333333336,37.041666666666664,31.0,15.291666666666666,31.083333333333332,27.666666666666668,32.083333333333336,37.041666666666664,31.0,15.291666666666666,31.083333333333332,27.666666666666668,32.083333333333336,37.041666666666664,31.0,15.291666666666666
23,42,68,52,11,6,0.00022275097853830393,1.3429311708022025e-05,0.03332862279466434,0.2146725502100308,0.7979191661668297,0.39985039254248333,30.76,28.24,33.52,37.64,30.2,14.92,30.76,28.24,33.52,37.64,30.2,14.92,30.76,28.24,33.52,37.64,30.2,14.92
55,24,63,53,44,19,0.24489268103594136,1.0560615654064627,0.10471208161724223,0.7785932872721308,1.6910917026404881,0.04362732588140243,31.28,28.6,35.8,39.56,30.8,15.28,31.692307692307693,28.076923076923077,34.65384615384615,38.23076923076923,30.73076923076923,15.076923076923077,31.692307692307693,28.076923076923077,34.65384615384615,38.23076923076923,30.73076923076923,15.076923076923077
9,61,28,40,30,3,0.011020642942195801,0.31737158374029245,1.1880120821339646,0.48089122997031336,0.24653876112737688,0.8403776262773663,29.76,30.96,34.4,38.68,31.56,14.72,30.85185185185185,29.296296296296298,34.407407407407405,38.2962962962963,30.703703703703702,14.62962962962963,30.85185185185185,29.296296296296298,34.407407407407405,38.2962962962963,30.703703703703702,14.62962962962963
65,28,49,60,4,25,0.00010840383911982314,0.8169280687414666,2.3983755446697597,0.963007607644053,0.014171968236413217,1.1199361176808,31.08,31.44,35.6,38.8,30.36,15.2,32.07142857142857,29.25,34.92857142857143,39.07142857142857,29.75,15.0,32.07142857142857,29.25,34.92857142857143,39.07142857142857,29.75,15.0
14,23,41,61,22,9,0.044170715393067835,0.008906094778946978,0.00033760052667468365,0.1685137842042827,0.06047676047113023,1.701452901583628,31.32,31.28,35.88,41.08,30.48,15.16,31.448275862068964,29.03448275862069,35.13793103448276,39.827586206896555,29.482758620689655,14.793103448275861,31.448275862068964,29.03448275862069,35.13793103448276,39.827586206896555,29.482758620689655,14.793103448275861
30,35,38,33,64,22,0.21622639618097353,0.24708525115409377,0.226118521924706,0.25000305415140134,0.40653418123629814,0.2919114955882628,30.08,30.6,35.36,39.84,32.92,15.8,31.4,29.233333333333334,35.233333333333334,39.6,30.633333333333333,15.033333333333333,31.4,29.233333333333334,35.233333333333334,39.6,30.633333333333333,15.033333333333333
32,3,25,51,18,3,0.7929309248899934,0.630657939600198,0.00013351628793752327,0.35741758227173015,0.1077577104507926,0.8403776262773663,29.6,30.52,34.8,39.12,31.76,14.96,31.419354838709676,28.387096774193548,34.903225806451616,39.96774193548387,30.225806451612904,14.64516129032258,31.419354838709676,28.387096774193548,34.903225806451616,39.96774193548387,30.225806451612904,14.64516129032258
62,30,12,25,52,8,0.09566612445899449,0.12842139748761172,0.7136759358845285,0.16154860412969663,0.0031271140891034445,0.5692922742566433,30.8,30.84,33.68,37.36,32.48,14.52,32.375,28.4375,34.1875,39.5,30.90625,14.4375,32.375,28.4375,34.1875,39.5,30.90625,14.4375
46,62,59,35,19,13,0.07696933935721834,1.057041788581138,0.017384854273709945,0.2048545437268606,0.024935256110529547,0.26858822048776976,31.04,31.24,35.92,36.08,32.76,14.2,32.78787878787879,29.454545454545453,34.93939393939394,39.36363636363637,30.545454545454547,14.393939393939394,32.78787878787879,29.454545454545453,34.93939393939394,39.36363636363637,30.545454545454547,14.393939393939394
25,39,64,2,33,17,0.04849452677354877,0.04609362581437326,0.044085457444610766,0.014326603657014594,0.6747398987024772,0.7539020792622968,31.4,32.6,38.0,34.92,32.36,14.16,32.55882352941177,29.735294117647058,35.794117647058826,38.26470588235294,30.61764705882353,14.470588235294118,32.55882352941177,29.735294117647058,35.794117647058826,38.26470588235294,30.61764705882353,14.470588235294118
32,16,3,34,12,14,0.7929309248899934,0.007019475341512124,0.0026329058873561318,0.9503473739051875,8.512094200423731e-05,2.026375619404374,31.64,30.84,35.44,35.04,31.72,13.8,32.542857142857144,29.34285714285714,34.857142857142854,38.142857142857146,30.085714285714285,14.457142857142857,32.542857142857144,29.34285714285714,34.857142857142854,38.142857142857146,30.085714285714285,14.457142857142857
47,69,30,66,57,3,0.0059780447653812185,0.009893462809024794,1.4706976108987816e-10,0.0009240833573961017,0.6785733472040106,0.8403776262773663,33.0,33.44,35.2,36.44,31.92,13.6,32.94444444444444,30.444444444444443,34.72222222222222,38.916666666666664,30.833333333333332,14.13888888888889,32.94444444444444,30.444444444444443,34.72222222222222,38.916666666666664,30.833333333333332,14.13888888888889
25,66,44,5,26,9,0.04849452677354877,0.011263890185440585,0.16053210529106068,0.00011022428274621012,0.08278596593404845,1.701452901583628,33.92,33.6,35.36,34.64,32.84,13.76,32.729729729729726,31.405405405405407,34.972972972972975,38.0,30.7027027027027,14.0,32.729729729729726,31.405405405405407,34.972972972972975,38.0,30.7027027027027,14.0
69,32,52,66,20,23,0.13787532289832138,0.9572228622443046,1.2623022207493806,0.0009240833573961017,0.907733962969527,0.35016615001526485,36.4,34.28,36.0,36.56,32.88,13.88,33.68421052631579,31.42105263157895,35.421052631578945,38.73684210526316,30.42105263157895,14.236842105263158,33.68421052631579,31.42105263157895,35.421052631578945,38.73684210526316,30.42105263157895,14.236842105263158
64,27,65,13,47,9,0.007272507839868062,0.06064234877111547,0.0007549613346496954,4.9929384812005565e-06,0.00024006951357817698,1.701452901583628,37.8,34.28,38.32,35.48,34.08,13.24,34.46153846153846,31.307692307692307,36.17948717948718,38.07692307692308,30.846153846153847,14.102564102564102,34.46153846153846,31.307692307692307,36.17948717948718,38.07692307692308,30.846153846153847,14.102564102564102
25,67,39,23,54,11,0.04849452677354877,0.13280758059204278,0.011213998916399126,1.4917376324929368,0.8547202982229125,0.043875773543411704,36.64,36.48,39.44,35.76,35.64,12.68,34.225,32.2,36.25,37.7,31.425,14.025,34.225,32.2,36.25,37.7,31.425,14.025
9,32,5,7,23,26,0.011020642942195801,0.9572228622443046,0.0001263662007073065,0.002090521786437855,0.0012072363201419516,0.33895804283910236,34.32,36.92,37.04,34.8,34.0,13.52,33.609756097560975,32.19512195121951,35.48780487804878,36.951219512195124,31.21951219512195,14.317073170731707,33.609756097560975,32.19512195121951,35.48780487804878,36.951219512195124,31.21951219512195,14.317073170731707
64,24,59,41,11,15,0.007272507839868062,1.0560615654064627,0.017384854273709945,1.8838133533063717e-06,0.7979191661668297,0.8564181738517205,36.0,37.44,37.28,35.6,34.04,13.4,34.333333333333336,32.0,36.04761904761905,37.04761904761905,30.738095238095237,14.333333333333334,34.333333333333336,32.0,36.04761904761905,37.04761904761905,30.738095238095237,14.333333333333334
6,34,33,59,58,12,0.0024467425643797686,0.2793855644756149,0.010637204957681655,0.014754214338362777,0.25348340739884095,0.961181898118571,33.76,36.72,38.08,37.48,34.6,13.64,33.674418604651166,32.04651162790697,35.97674418604651,37.55813953488372,31.372093023255815,14.279069767441861,33.674418604651166,32.04651162790697,35.97674418604651,37.55813953488372,31.372093023255815,14.279069767441861
40,69,33,23,30,12,1.3273989094118668,0.009893462809024794,0.010637204957681655,1.4917376324929368,0.24653876112737688,0.961181898118571,35.24,38.12,38.32,36.04,33.04,13.36,33.81818181818182,32.88636363636363,35.90909090909091,37.22727272727273,31.34090909090909,14.227272727272727,33.81818181818182,32.88636363636363,35.90909090909091,37.22727272727273,31.34090909090909,14.227272727272727
20,16,43,64,22,17,0.03950583821640113,0.007019475341512124,0.14066519110417935,0.34858457915676133,0.06047676047113023,0.7539020792622968,34.76,37.4,39.48,37.68,31.2,13.92,33.51111111111111,32.51111111111111,36.06666666666667,37.82222222222222,31.133333333333333,14.28888888888889,33.51111111111111,32.51111111111111,36.06666666666667,37.82222222222222,31.133333333333333,14.28888888888889
37,69,12,25,60,20,0.6156859799427464,0.009893462809024794,0.7136759358845285,0.16154860412969663,0.008823295482730215,4.080698384780722,35.12,39.72,37.96,36.4,31.12,13.8,33.58695652173913,33.30434782608695,35.54347826086956,37.54347826086956,31.76086956521739,14.41304347826087,33.58695652173913,33.30434782608695,35.54347826086956,37.54347826086956,31.76086956521739,14.41304347826087
36,58,27,41,20,7,0.8598815699581774,0.3335443573235986,0.10268742386889099,1.8838133533063717e-06,0.907733962969527,0.5371013711410845,34.72,40.04,38.56,37.52,31.52,13.24,33.638297872340424,33.829787234042556,35.361702127659576,37.61702127659574,31.51063829787234,14.25531914893617,33.638297872340424,33.829787234042556,35.361702127659576,37.61702127659574,31.51063829787234,14.25531914893617
33,4,24,31,22,10,0.20538734191426689,0.6673838008187823,0.12191595568542447,0.4360159993572541,0.06047676047113023,0.050832102864036416,35.6,37.8,38.6,36.6,30.68,13.52,33.625,33.208333333333336,35.125,37.479166666666664,31.3125,14.166666666666666,33.625,33.208333333333336,35.125,37.479166666666664,31.3125,14.166666666666666
53,2,23,63,41,11,0.0002856890016350715,0.858356417779222,0.6946437196240411,6.130012236245402e-06,0.09344212397502137,0.043875773543411704,36.84,37.28,37.56,38.92,32.0,12.96,34.02040816326531,32.57142857142857,34.87755102040816,38.0,31.510204081632654,14.10204081632653,34.02040816326531,32.57142857142857,34.87755102040816,38.0,31.510204081632654,14.10204081632653
14,42,43,52,40,17,0.044170715393067835,1.3429311708022025e-05,0.14066519110417935,0.2146725502100308,0.25830381108806394,0.7539020792622968,36.48,37.28,36.56,38.92,33.16,13.4,33.62,32.76,35.04,38.28,31.68,14.16,33.62,32.76,35.04,38.28,31.68,14.16
36,3,56,69,27,25,0.8598815699581774,0.630657939600198,0.9105143182480531,0.007454865641169977,0.740566447533849,1.1199361176808,35.72,36.44,36.28,39.56,32.48,13.64,33.5,32.52,36.04,39.56,31.64,14.46,33.666666666666664,32.1764705882353,35.450980392156865,38.88235294117647,31.58823529411765,14.372549019607844
29,37,23,64,60,6,0.0003771804517739436,2.7971304793823627e-05,0.6946437196240411,0.34858457915676133,0.008823295482730215,0.39985039254248333,36.52,35.48,36.08,40.52,33.68,13.76,33.14,33.22,35.24,39.6,32.62,14.24,33.57692307692308,32.26923076923077,35.21153846153846,39.36538461538461,32.13461538461539,14.211538461538462
63,39,59,34,10,4,0.01831272733322423,0.04609362581437326,0.017384854273709945,0.9503473739051875,0.06267217066701888,0.3712733910486273,36.44,35.92,36.48,39.48,33.92,12.92,33.76,33.68,36.04,39.14,32.14,14.06,34.132075471698116,32.39622641509434,35.660377358490564,39.264150943396224,31.71698113207547,14.018867924528301
66,57,2,31,24,18,0.23826153374361034,0.4082905728204118,0.03653498799938427,0.4360159993572541,0.0009710929639259427,1.2328510355369109,38.52,37.28,34.92,38.28,34.0,13.28,34.92,34.28,35.4,39.68,32.24,14.22,34.72222222222222,32.851851851851855,35.03703703703704,39.111111111111114,31.574074074074073,14.092592592592593
32,28,10,64,61,12,0.7929309248899934,0.8169280687414666,0.794526648737261,0.34858457915676133,0.46332901097547535,0.961181898118571,38.6,37.0,33.8,39.52,33.88,12.88,34.34,33.8,34.58,39.68,33.4,14.34,34.67272727272727,32.763636363636365,34.58181818181818,39.56363636363636,32.10909090909091,14.054545454545455
57,15,29,3,54,10,0.1514085961583256,0.003367620203865751,0.5702089436255896,0.421345499559873,0.8547202982229125,0.050832102864036416,39.6,37.48,33.96,37.6,35.32,13.16,34.6,34.0,34.38,38.36,33.54,14.06,35.07142857142857,32.44642857142857,34.482142857142854,38.910714285714285,32.5,13.982142857142858
11,50,40,17,62,26,0.03470039464315368,0.9026665765343952,0.00010081686689873096,0.5693624395506659,0.8145602157343348,0.33895804283910236,37.56,38.28,35.08,37.28,35.72,13.88,34.18,34.56,34.38,37.32,34.1,14.2,34.64912280701754,32.75438596491228,34.578947368421055,38.526315789473685,33.01754385964912,14.192982456140351
6,58,66,25,35,5,0.0024467425643797686,0.3335443573235986,0.3480841666966969,0.16154860412969663,0.25534083818924486,0.5105740707880035,35.96,38.12,35.36,36.88,36.36,13.56,33.5,34.68,35.64,36.48,34.56,13.88,34.1551724137931,33.189655172413794,35.12068965517241,38.293103448275865,33.05172413793103,14.03448275862069
39,5,35,7,23,11,0.23156450353880376,0.018041954308761928,0.0162796615255719,0.002090521786437855,0.0012072363201419516,0.043875773543411704,36.52,36.76,34.2,37.08,35.96,13.32,33.96,34.68,36.1,36.0,34.16,13.74,34.23728813559322,32.71186440677966,35.11864406779661,37.76271186440678,32.88135593220339,13.983050847457626
10,47,68,65,50,24,9.989942015848275e-08,0.4285494033214537,0.03332862279466434,0.9500114078514899,0.00857854616844173,0.6719665195426564,35.64,38.0,36.8,38.32,37.48,13.72,33.64,34.42,36.12,36.68,34.6,13.76,33.833333333333336,32.95,35.666666666666664,38.21666666666667,33.166666666666664,14.15
32,21,17,23,11,5,0.7929309248899934,0.7581750116811724,0.36669975177403835,1.4917376324929368,0.7979191661668297,0.5105740707880035,35.04,36.08,36.28,36.6,35.64,13.8,34.02,34.76,35.74,36.52,33.78,13.7,33.80327868852459,32.75409836065574,35.36065573770492,37.967213114754095,32.80327868852459,14.0
66,27,11,9,67,2,0.23826153374361034,0.06064234877111547,0.05407596592623611,0.11269762503167347,0.2802313570925538,0.06659533773468283,36.68,34.52,34.96,36.76,37.28,13.52,35.3,34.06,35.16,35.7,35.06,13.64,34.32258064516129,32.66129032258065,34.96774193548387,37.5,33.354838709677416,13.806451612903226
52,33,47,36,20,12,0.6637555037513825,0.061043777848333224,1.1703622100339977,0.2773912697589105,0.907733962969527,0.961181898118571,36.0,34.56,34.76,35.56,37.28,13.08,36.2,34.42,35.38,36.06,35.08,13.48,34.6031746031746,32.666666666666664,35.15873015873016,37.476190476190474,33.142857142857146,13.777777777777779
64,56,61,23,67,12,0.007272507839868062,0.0756836789661559,0.012071967902704022,1.4917376324929368,0.2802313570925538,0.961181898118571,36.0,35.72,34.6,35.96,38.08,13.2,36.9,35.0,36.46,35.72,36.08,13.22,35.0625,33.03125,35.5625,37.25,33.671875,13.75
44,38,64,69,60,6,0.04550588508815904,0.0002784162129135354,0.044085457444610766,0.007454865641169977,0.008823295482730215,0.39985039254248333,36.76,34.56,35.6,37.8,38.32,13.0,36.7,35.52,37.52,36.78,36.98,12.84,35.2,33.10769230769231,36.0,37.738461538461536,34.07692307692308,13.63076923076923
44,49,33,50,52,8,0.04550588508815904,0.006136243597487308,0.010637204957681655,0.7352036358863162,0.0031271140891034445,0.5692922742566433,38.16,35.24,36.72,39.52,39.48,12.28,36.24,36.08,36.88,37.16,36.74,12.9,35.333333333333336,33.34848484848485,35.95454545454545,37.92424242424242,34.34848484848485,13.545454545454545
